Format:,ppr
Teams:,12
Rounds:,15
Total drafts:,7726
Start date:,2026-08-18
End date:,2026-08-25

ADP,Overall,Name,Position,Team,Times Drafted,Std. Dev,High,Low,Bye
5.11,58.8,Christian Watson,WR,GB,1717,6.4,42,80,11
5.12,59.6,Courtland Sutton,WR,DEN,653,6.4,42,79,10
6.02,61.5,TreVeyon Henderson,RB,NE,715,6.5,44,81,11
6.05,64.5,DK Metcalf,WR,PIT,905,7.1,46,87,9
6.05,64.8,Parker Washington,WR,JAX,2020,7.5,45,87,7
6.06,65.5,Tyler Warren,TE,IND,1548,9.2,41,91,13
6.06,65.6,Dak Prescott,QB,DAL,562,7.8,45,96,14
6.06,65.8,Marvin Harrison Jr.,WR,ARI,1220,7.6,45,87,14
6.06,66.4,Rhamondre Stevenson,RB,NE,498,6.8,48,86,11
6.07,66.7,Alec Pierce,WR,IND,471,8.3,47,85,13
6.09,69.3,Tony Pollard,RB,TEN,409,6.7,51,90,9
6.12,72.2,Jayden Daniels,QB,WAS,571,11.3,42,113,7
7.01,72.5,Brian Thomas Jr.,WR,JAX,1113,7.6,52,92,7
7.03,74.5,Rico Dowdle,RB,PIT,509,7.5,54,98,9
7.03,74.8,Michael Pittman Jr.,WR,PIT,888,7.8,54,96,9
7.04,75.5,Kyle Pitts Sr.,TE,ATL,410,9.3,51,98,11
7.04,76.0,Michael Wilson,WR,ARI,1188,8.0,55,97,14
7.04,76.5,Jadarian Price,RB,SEA,2976,10.5,49,119,11
7.05,76.9,Matthew Stafford,QB,LAR,392,11.0,50,114,11
7.05,77.3,Carnell Tate,WR,TEN,1583,9.5,52,102,9
7.07,78.8,Jalen Hurts,QB,PHI,780,11.3,49,114,10
7.07,78.9,Harold Fannin Jr.,TE,CLE,205,7.4,59,109,11
7.07,79.0,Chuba Hubbard,RB,CAR,417,9.7,53,114,5
7.08,80.0,Chris Godwin Jr.,WR,TB,1421,8.3,58,101,10
7.11,83.2,Seattle Defense,DEF,SEA,234,8.2,61,100,11
8.02,85.9,Wan'Dale Robinson,WR,TEN,714,8.3,64,109,9
